flightdate,origincityname,crsdeptime,depdelay,distance,marketing_airline_network,hour,delayed,city_clean,latitude,longitude,temp_mean,precipitation,wind_speed
2018-01-02,"Charlotte, NC",2025,8.0,361.0,WN,20,0,Charlotte,35.22709,-80.84313,-6.3,0.0,9.9
2018-01-03,"Detroit, MI",710,-1.0,456.0,DL,7,0,Detroit,42.33143,-83.04575,-14.8,0.7,21.3
2018-01-01,"Honolulu, HI",516,-10.0,102.0,HA,5,0,Honolulu,21.30694,-157.85834,22.2,0.0,13.6
2018-01-02,"Dallas/Fort Worth, TX",1100,66.0,731.0,DL,11,1,Dallas/Fort Worth,32.89595,-97.0372,-4.4,0.0,8.9
2018-01-12,"Atlanta, GA",1345,193.0,1587.0,DL,13,1,Atlanta,33.749,-84.38798,13.7,19.9,15.2
2018-01-03,"Charlotte, NC",1120,3.0,940.0,AA,11,0,Charlotte,35.22709,-80.84313,-4.0,0.0,6.3
2018-01-08,"Atlanta, GA",630,-2.0,696.0,WN,6,0,Atlanta,33.749,-84.38798,-0.3,6.8,14.6
2018-01-02,"Detroit, MI",1540,1.0,629.0,DL,15,0,Detroit,42.33143,-83.04575,-14.8,0.0,20.3
2018-01-12,"New York, NY",1730,202.0,431.0,DL,17,1,New York,40.71427,-74.00597,10.6,24.1,21.6
2018-01-03,"Atlanta, GA",1100,1.0,1199.0,DL,11,0,Atlanta,33.749,-84.38798,-2.3,0.0,6.9
2018-01-09,"Corpus Christi, TX",630,-5.0,187.0,WN,6,0,Corpus Christi,27.80058,-97.39638,12.7,0.0,9.3
2018-01-28,"Charlotte, NC",1800,-2.0,544.0,DL,18,0,Charlotte,35.22709,-80.84313,11.5,13.4,5.1
2018-01-17,"Honolulu, HI",717,-4.0,163.0,HA,7,0,Honolulu,21.30694,-157.85834,23.1,0.0,24.8
2018-01-11,"New York, NY",930,45.0,335.0,DL,9,1,New York,40.71427,-74.00597,3.7,0.0,9.9
2018-01-15,"Houston, TX",2010,-7.0,1075.0,UA,20,0,Houston,29.76328,-95.36327,9.3,0.0,11.9
2018-01-02,"Richmond, VA",1601,14.0,1482.0,UA,16,0,Richmond,37.55376,-77.46026,-7.6,0.0,8.5
2018-01-02,"Charlotte, NC",1120,12.0,547.0,AA,11,0,Charlotte,35.22709,-80.84313,-6.3,0.0,9.9
2018-01-05,"Minneapolis, MN",740,9.0,980.0,DL,7,0,Minneapolis,44.97997,-93.26384,-23.8,0.0,10.0
2018-01-28,"New York, NY",1155,-4.0,764.0,WN,11,0,New York,40.71427,-74.00597,8.9,4.1,12.9
