flightdate,origincityname,crsdeptime,depdelay,distance,marketing_airline_network,hour,delayed,city_clean,latitude,longitude,temp_mean,precipitation,wind_speed
2018-01-12,"Dallas/Fort Worth, TX",815,478.0,731.0,DL,8,1,Dallas/Fort Worth,32.89595,-97.0372,-0.1,0.1,23.6
2018-01-26,"Orlando, FL",1452,-4.0,1005.0,NK,14,0,Orlando,28.53834,-81.37924,16.9,0.2,21.0
2018-01-22,"Atlanta, GA",1510,-4.0,645.0,DL,15,0,Atlanta,33.749,-84.38798,11.0,1.8,14.3
2018-01-05,"Charlotte, NC",1444,19.0,564.0,AA,14,1,Charlotte,35.22709,-80.84313,-5.2,0.0,13.1
2018-01-04,"Houston, TX",605,-2.0,1635.0,UA,6,0,Houston,29.76328,-95.36327,2.7,0.0,7.6
2018-01-02,"Houston, TX",1100,1.0,1642.0,WN,11,0,Houston,29.76328,-95.36327,-0.5,0.0,14.6
2018-01-23,"Atlanta, GA",1411,-4.0,746.0,DL,14,0,Atlanta,33.749,-84.38798,10.8,12.1,18.7
2018-01-03,"Houston, TX",655,-8.0,1208.0,UA,6,0,Houston,29.76328,-95.36327,-0.1,1.3,15.1
2018-01-16,"Dallas/Fort Worth, TX",2045,0.0,539.0,AA,20,0,Dallas/Fort Worth,32.89595,-97.0372,-2.8,1.2,26.0
2018-01-01,"Minneapolis, MN",1130,34.0,1020.0,AA,11,1,Minneapolis,44.97997,-93.26384,-25.4,0.0,11.1
2018-01-17,"Detroit, MI",830,-5.0,409.0,NK,8,0,Detroit,42.33143,-83.04575,-9.4,0.3,17.1
2018-01-05,"Atlanta, GA",1440,-4.0,780.0,DL,14,0,Atlanta,33.749,-84.38798,-4.4,0.0,16.4
2018-01-22,"Houston, TX",1034,15.0,657.0,UA,10,1,Houston,29.76328,-95.36327,17.0,5.9,19.5
2018-01-07,"Dallas/Fort Worth, TX",705,15.0,861.0,AA,7,1,Dallas/Fort Worth,32.89595,-97.0372,12.4,5.1,23.1
2018-01-08,"Atlanta, GA",1020,154.0,721.0,WN,10,1,Atlanta,33.749,-84.38798,-0.3,6.8,14.6
2018-01-22,"Honolulu, HI",1505,-3.0,2614.0,HA,15,0,Honolulu,21.30694,-157.85834,23.1,0.2,19.3
2018-01-23,"Atlanta, GA",1057,-3.0,761.0,DL,10,0,Atlanta,33.749,-84.38798,10.8,12.1,18.7
2018-01-15,"Honolulu, HI",1100,-7.0,102.0,HA,11,0,Honolulu,21.30694,-157.85834,22.7,0.0,9.4
2018-01-12,"Atlanta, GA",1826,50.0,1547.0,DL,18,1,Atlanta,33.749,-84.38798,13.7,19.9,15.2
2018-01-30,"Houston, TX",1620,-4.0,643.0,UA,16,0,Houston,29.76328,-95.36327,9.2,0.0,12.4
2018-01-08,"Charlotte, NC",900,1.0,386.0,AA,9,0,Charlotte,35.22709,-80.84313,-2.1,0.2,7.4
2018-01-15,"Baltimore, MD",2015,-6.0,577.0,WN,20,0,Baltimore,39.29038,-76.61219,-5.3,0.0,8.8
2018-01-02,"Atlanta, GA",1953,76.0,666.0,NK,19,1,Atlanta,33.749,-84.38798,-5.6,0.0,9.7
2018-01-08,"Charlotte, NC",1655,-7.0,584.0,WN,16,0,Charlotte,35.22709,-80.84313,-2.1,0.2,7.4
2018-01-18,"New York, NY",1018,113.0,963.0,DL,10,1,New York,40.71427,-74.00597,-4.9,0.0,17.1
2018-01-24,"Atlanta, GA",1500,-2.0,666.0,DL,15,0,Atlanta,33.749,-84.38798,4.8,0.0,18.1
2018-01-02,"Atlanta, GA",1559,95.0,164.0,DL,15,1,Atlanta,33.749,-84.38798,-5.6,0.0,9.7
2018-01-23,"New York, NY",600,-4.0,184.0,DL,6,0,New York,40.71427,-74.00597,8.4,7.5,17.9
2018-01-12,"Detroit, MI",815,-5.0,1481.0,DL,8,0,Detroit,42.33143,-83.04575,3.9,14.1,28.0
2018-01-22,"Dallas/Fort Worth, TX",1700,20.0,1313.0,AA,17,1,Dallas/Fort Worth,32.89595,-97.0372,12.3,1.5,23.6
2018-01-01,"New York, NY",805,-1.0,1096.0,DL,8,0,New York,40.71427,-74.00597,-11.6,0.0,16.6
