delayed,marketing_airline_network,airport_code,destcityname,distance,year,month,dayofmonth,day_of_week,hour,temp_mean,precipitation,wind_speed
0,DL,IAH,"Salt Lake City, UT",1923.1613,2018,1,8,0,7,-10.777777777777779,3.4,24.0
0,AA,BFI,"Philadelphia, PA",3176.83716,2018,1,28,6,8,-12.777777777777779,4.5,26.3
1,AA,OPF,"Las Vegas, NV",3176.83716,2018,10,28,6,18,-5.444444444444445,0.0,21.6
0,AA,LAX,"Honolulu, HI",3176.83716,2018,1,20,5,15,-10.86111111111111,0.0,33.9
0,DL,JFK,"Las Vegas, NV",3176.83716,2018,12,17,0,19,-15.055555555555555,0.8,33.7
0,UA,LCK,"Washington, DC",481.19266,2018,1,24,2,6,-18.0,0.5,18.1
0,AA,DCA,"Grand Rapids, MI",843.29416,2018,10,2,1,10,-4.944444444444444,1.3,16.6
0,WN,LAS,"Denver, CO",1010.66552,2018,11,19,0,10,-11.583333333333334,0.0,11.6
0,WN,BOS,"Chicago, IL",1385.64174,2018,11,28,2,15,-16.194444444444443,0.0,26.7
0,AA,ORD,"Houston, TX",1488.6395,2018,11,9,4,9,-19.38888888888889,4.3,24.5
1,WN,HOU,"Las Vegas, NV",1987.5348999999999,2018,11,27,1,17,-13.027777777777779,0.0,14.1
0,AA,MDW,"Little Rock, AR",888.35568,2018,12,8,5,9,-20.27777777777778,0.0,9.4
0,UA,AMA,"Houston, TX",832.02878,2018,10,27,5,11,-9.38888888888889,0.0,18.1
0,AA,LGA,"St. Louis, MO",1429.09392,2018,1,9,1,18,-18.13888888888889,0.0,20.4
0,UA,IAH,"El Paso, TX",1073.42978,2018,12,20,3,14,-10.472222222222221,0.0,31.8
0,WN,DAL,"Nashville, TN",1002.61882,2018,11,13,1,19,-16.77777777777778,0.0,29.7
0,DL,LGA,"Los Angeles, CA",3176.83716,2018,10,5,4,8,-8.25,0.0,20.9
0,UA,MDW,"Bangor, ME",1573.93452,2018,10,11,3,8,-13.63888888888889,0.0,27.3
0,DL,DTW,"Los Angeles, CA",3176.83716,2018,11,19,0,17,-17.805555555555557,0.0,9.8
0,AA,CRP,"Dallas/Fort Worth, TX",569.70636,2018,1,30,1,16,-11.11111111111111,0.0,18.4
1,AA,OKC,"Phoenix, AZ",1340.58022,2018,12,20,3,15,-13.027777777777779,0.0,38.2
0,UA,IAH,"Valparaiso, FL",849.73152,2018,10,28,6,18,-5.888888888888889,0.0,11.9
0,DL,CLE,"New York, NY",674.31346,2018,10,6,5,12,-4.666666666666666,4.5,23.8
0,UA,ORD,"Dallas/Fort Worth, TX",1290.69068,2018,1,5,4,7,-26.166666666666664,0.0,16.7
0,UA,BJC,"Little Rock, AR",1240.80114,2018,11,15,3,11,-15.63888888888889,0.0,18.9
0,UA,SAN,"Houston, TX",2096.97002,2018,12,9,6,10,-9.63888888888889,0.0,14.5
0,DL,AGS,"Atlanta, GA",230.13562,2018,11,29,3,13,-13.805555555555555,0.0,10.7
0,DL,GRB,"Detroit, MI",461.88058,2018,12,23,6,11,-18.555555555555557,0.0,20.6
0,DL,BJC,"Atlanta, GA",1929.5986599999999,2018,11,27,1,18,-16.02777777777778,0.0,27.8
0,UA,OKC,"Houston, TX",635.6893,2018,10,2,1,16,-4.500000000000001,1.3,22.1
0,AA,TPA,"Miami, FL",328.30536,2018,1,25,3,8,-9.25,0.0,25.8
1,B6,ATL,"Boston, MA",1522.43564,2018,12,12,2,13,-15.694444444444445,0.0,10.2
0,DL,DCA,"Atlanta, GA",859.38756,2018,12,2,6,9,-11.583333333333334,2.2,17.7
0,DL,ATL,"Minneapolis, MN",1459.67138,2018,1,12,4,19,-14.194444444444445,4.5,31.1
0,AA,SDF,"Philadelphia, PA",926.97984,2018,11,18,6,12,-13.555555555555555,0.0,16.0
0,UA,BOI,"Denver, CO",1044.46166,2018,11,19,0,5,-17.13888888888889,0.0,7.4
0,UA,MDW,"Cleveland, OH",508.55144,2018,1,15,0,10,-22.52777777777778,3.7,21.3
0,UA,MDW,"Houston, TX",1488.6395,2018,10,2,1,18,-7.944444444444445,0.6,24.4
0,AA,OPF,"Chicago, IL",1926.37998,2018,10,18,3,8,-2.7222222222222214,0.3,19.1
0,AA,SYR,"Washington, DC",479.58332,2018,1,3,2,6,-22.86111111111111,0.0,17.1
0,WN,OKC,"St. Louis, MO",743.51508,2018,10,7,6,12,-6.166666666666668,4.5,23.2
0,DL,LGA,"Rochester, NY",408.77236,2018,10,27,5,14,-12.472222222222221,4.5,38.7
0,B6,DCA,"Fort Lauderdale, FL",1446.79666,2018,12,14,4,6,-15.86111111111111,4.5,13.4
0,AA,MIA,"Philadelphia, PA",1630.26142,2018,10,23,1,21,-3.7222222222222223,0.0,11.5
0,DL,ATL,"Dallas/Fort Worth, TX",1176.42754,2018,12,4,1,12,-14.916666666666666,0.0,19.7
0,B6,JFK,"Savannah, GA",1155.50612,2018,12,31,0,8,-15.25,4.5,31.5
0,AA,CLT,"Bristol/Johnson City/Kingsport, TN",191.51146,2018,11,21,2,20,-13.777777777777779,0.0,11.7
0,UA,DEN,"Chicago, IL",1429.09392,2018,1,18,3,9,-13.972222222222221,0.0,20.2
0,UA,SFO,"Los Angeles, CA",542.34758,2018,10,31,2,22,-8.055555555555555,0.0,12.2
0,AA,MDW,"Wichita, KS",946.29192,2018,11,9,4,22,-18.916666666666668,4.5,27.2
0,WN,DAL,"Houston, TX",384.63226,2018,12,27,3,8,-11.583333333333334,0.5,31.8
0,AA,GSP,"Washington, DC",637.29864,2018,10,14,6,10,-8.5,2.2,12.1
0,AS,BFI,"Fresno, CA",1203.78632,2018,10,15,0,14,-11.61111111111111,0.0,11.4
0,DL,FLL,"New York, NY",1720.38446,2018,10,27,5,15,-2.999999999999999,0.2,13.5
0,DL,SYR,"New York, NY",318.64932,2018,1,12,4,5,-15.5,4.5,23.9
0,DL,DTW,"Burlington, VT",864.21558,2018,12,5,2,10,-18.555555555555557,0.1,18.4
0,UA,IND,"Newark, NJ",1038.0243,2018,1,21,6,19,-13.25,3.1,16.2
0,AA,MCO,"Washington, DC",1221.4890599999999,2018,11,2,4,17,-4.111111111111111,0.5,21.9
0,AS,SEA,"Anchorage, AK",2330.32432,2018,10,1,0,9,-9.63888888888889,4.5,16.8
0,AA,AUS,"Los Angeles, CA",1998.80028,2018,1,15,0,14,-11.61111111111111,4.1,36.4
0,WN,MDW,"St. Louis, MO",403.94434,2018,10,7,6,16,-9.36111111111111,4.5,18.9
0,B6,CLE,"Fort Lauderdale, FL",1709.11908,2018,10,23,1,7,-12.75,0.2,25.6
1,DL,JFK,"Cleveland, OH",674.31346,2018,10,18,3,11,-13.61111111111111,0.0,26.9
0,UA,ORD,"Duluth, MN",638.90798,2018,1,3,2,21,-24.38888888888889,0.4,21.4
0,UA,DEN,"Sioux Falls, SD",777.31122,2018,12,23,6,9,-17.02777777777778,0.0,12.9
0,AA,LAS,"Miami, FL",3176.83716,2018,11,19,0,23,-11.583333333333334,0.0,11.6
0,AA,CHA,"Charlotte, NC",387.85094,2018,10,22,0,14,-11.972222222222221,0.0,10.0
0,UA,HOU,"Tampa, FL",1266.55058,2018,10,5,4,17,-3.1944444444444446,2.6,16.4
0,UA,IAH,"Akron, OH",1746.1339,2018,11,20,1,18,-11.694444444444445,0.0,18.5
0,DL,JFK,"Orlando, FL",1519.21696,2018,1,19,4,13,-18.02777777777778,0.0,19.5
0,AA,PIT,"Charlotte, NC",589.0184399999999,2018,1,22,0,8,-11.36111111111111,2.8,18.4
0,AS,SEA,"San Diego, CA",1689.807,2018,12,12,2,5,-14.416666666666666,4.2,25.0
0,DL,MSP,"Fort Myers, FL",2278.82544,2018,1,18,3,7,-18.52777777777778,0.0,18.1
0,DL,JFK,"Tampa, FL",1617.3867,2018,12,18,1,15,-17.805555555555557,0.0,32.9
0,DL,ATL,"Birmingham, AL",215.65156,2018,10,9,1,22,-4.222222222222223,3.5,27.2
0,WN,SAN,"New Orleans, LA",2573.33466,2018,10,11,3,6,-7.222222222222222,0.0,18.1
0,B6,SLC,"Long Beach, CA",946.29192,2018,11,19,0,19,-16.97222222222222,0.0,11.2
0,NK,LAX,"Minneapolis, MN",2470.3369,2018,1,16,1,10,-9.916666666666666,0.0,12.3
0,DL,EYW,"Atlanta, GA",1039.63364,2018,12,27,3,15,-4.416666666666667,1.1,38.7
0,WN,IND,"Houston, TX",1385.64174,2018,1,6,5,12,-26.166666666666664,0.0,13.7
0,AA,LBB,"Dallas/Fort Worth, TX",453.83388,2018,10,12,4,8,-8.194444444444445,1.6,20.6
1,UA,IAH,"Laredo, TX",484.41134,2018,1,15,0,21,-11.75,1.3,17.2
0,AA,MHT,"Charlotte, NC",1186.08358,2018,10,5,4,8,-10.36111111111111,0.0,17.2
0,AS,MDW,"Portland, OR",2798.64226,2018,10,8,0,15,-5.166666666666665,2.8,21.9
0,DL,ATL,"Lafayette, LA",809.49802,2018,11,27,1,20,-16.694444444444443,0.0,27.4
0,UA,MDW,"Grand Rapids, MI",220.47958,2018,12,21,4,21,-17.25,2.8,22.1
0,AA,KAEG,"Los Angeles, CA",1089.52318,2018,11,7,2,12,-13.027777777777779,0.0,16.9
1,AS,JFK,"San Francisco, CA",3176.83716,2018,10,4,3,16,-7.027777777777777,1.2,22.7
0,AA,BDL,"Charlotte, NC",1036.41496,2018,11,20,1,13,-17.02777777777778,4.5,12.6
0,AA,DCA,"Providence, RI",572.92504,2018,11,8,3,6,-11.805555555555555,0.0,14.7
0,DL,DTW,"Norfolk, VA",851.34086,2018,11,29,3,10,-19.0,1.3,12.1
0,AS,SEA,"Las Vegas, NV",1395.29778,2018,10,12,4,16,-11.527777777777779,0.0,17.3
0,WN,RSW,"St. Louis, MO",1575.54386,2018,1,5,4,7,-12.777777777777779,0.0,13.6
1,AA,BJC,"Chicago, IL",1429.09392,2018,12,14,4,16,-17.0,0.0,11.2
0,UA,LAS,"Houston, TX",1966.61348,2018,11,24,5,6,-11.444444444444445,0.0,19.6
0,AA,ORD,"Harrisburg, PA",955.94796,2018,11,29,3,8,-18.47222222222222,0.9,11.0
0,AA,SAV,"Charlotte, NC",342.78942,2018,11,4,6,9,-8.722222222222221,4.5,15.1
1,AS,BFI,"Austin, TX",2848.5318,2018,11,20,1,17,-14.305555555555555,0.0,10.7
0,WN,TPA,"Manchester, NH",1937.64536,2018,11,27,1,12,-10.11111111111111,0.8,28.2
0,WN,RSW,"Baltimore, MD",1478.98346,2018,1,10,2,7,-6.25,4.5,12.4
