type,name,latitude,longitude,state_clean,city_clean,airport_code
medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,NE,Scottsbluff,BFF
medium_airport,Boeing Field King County International Airport,47.529999,-122.302002,WA,Seattle,BFI
medium_airport,Meadows Field,35.433601,-119.056999,CA,Bakersfield,BFL
medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,NY,Binghamton,BGM
medium_airport,Bangor International Airport,44.8074,-68.828102,ME,Bangor,BGR
medium_airport,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,ME,Bar Harbor,BHB
medium_airport,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502,AL,Birmingham,BHM
small_airport,Block Island State Airport,41.168446,-71.578631,RI,Block Island,BID
medium_airport,Eastern Sierra Regional Airport,37.3731,-118.363998,CA,Bishop,BIH
large_airport,Billings Logan International Airport,45.807824,-108.533667,MT,Billings,BIL
medium_airport,Bismarck Municipal Airport,46.77270126342773,-100.74600219726562,ND,Bismarck,BIS
medium_airport,Rocky Mountain Metropolitan Airport,39.908798,-105.116997,CO,Denver,BJC
medium_airport,Raleigh County Memorial Airport,37.7873,-81.124199,WV,Beaver,BKW
medium_airport,Bellingham International Airport,48.79280090332031,-122.53800201416016,WA,Bellingham,BLI
medium_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,IL,Belleville,BLV
medium_airport,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,IL,Bloomington/Normal,BMI
large_airport,Nashville International Airport,36.1245,-86.6782,TN,Nashville,BNA
large_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,ID,Boise,BOI
large_airport,Logan International Airport,42.36197,-71.0079,MA,Boston,BOS
medium_airport,Jack Brooks Regional Airport,29.9508,-94.020699,TX,Beaumont/Port Arthur,BPT
medium_airport,Brunswick Golden Isles Airport,31.258801,-81.466499,GA,Brunswick,BQK
medium_airport,Brainerd Lakes Regional Airport,46.402861,-94.129727,MN,Brainerd,BRD
medium_airport,Southeast Iowa Regional Airport,40.783199310302734,-91.12550354003906,IA,Burlington,BRL
medium_airport,Brownsville South Padre Island International Airport,25.90679931640625,-97.4259033203125,TX,Brownsville,BRO
medium_airport,Bert Mooney Airport,45.95479965209961,-112.49700164794922,MT,Butte,BTM
medium_airport,Baton Rouge Metropolitan Airport,30.533199,-91.149597,LA,Baton Rouge,BTR
medium_airport,Burlington International Airport,44.471901,-73.153297,VT,South Burlington,BTV
large_airport,Buffalo Niagara International Airport,42.940498,-78.732201,NY,Buffalo,BUF
medium_airport,Hollywood Burbank Airport,34.197703,-118.356378,CA,Burbank,BUR
large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,MD,Baltimore,BWI
medium_airport,Bozeman Yellowstone International Airport,45.7775,-111.153,MT,Bozeman,BZN
medium_airport,Columbia Metropolitan Airport,33.938801,-81.119499,SC,Columbia,CAE
medium_airport,Akron Canton Regional Airport,40.91609954833984,-81.44219970703125,OH,Akron,CAK
medium_airport,Buchanan Field,37.9897,-122.056999,CA,Concord,CCR
medium_airport,Cedar City Regional Airport,37.70100021362305,-113.0989990234375,UT,Cedar City,CDC
medium_airport,Chadron Municipal Airport,42.837601,-103.095001,NE,Chadron,CDR
medium_airport,Jack Mc Namara Field Airport,41.778929,-124.236403,CA,Crescent City,CEC
medium_airport,Cortez Municipal Airport,37.303001,-108.627998,CO,Cortez,CEZ
medium_airport,Cape Girardeau Regional Airport,37.2253,-89.570801,MO,Cape Girardeau,CGI
medium_airport,Chattanooga Metropolitan Airport (Lovell Field),35.035301,-85.203796,TN,Chattanooga,CHA
medium_airport,Charlottesville Albemarle Airport,38.13859939575195,-78.4529037475586,VA,Charlottesville,CHO
medium_airport,Charleston International Airport,32.898602,-80.040497,SC,Charleston,CHS
medium_airport,The Eastern Iowa Airport,41.884701,-91.7108,IA,Cedar Rapids,CID
large_airport,Chippewa County International Airport,46.242038,-84.462082,MI,Kincheloe,CIU
medium_airport,North Central West Virginia Airport,39.2966,-80.228104,WV,Bridgeport,CKB
large_airport,Cleveland Hopkins International Airport,41.411701,-81.8498,OH,Cleveland,CLE
medium_airport,Easterwood Field,30.5886,-96.3638,TX,College Station,CLL
large_airport,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,NC,Charlotte,CLT
large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,OH,Columbus,CMH
medium_airport,University of Illinois Willard Airport,40.039819,-88.276249,IL,Savoy,CMI
medium_airport,Houghton County Memorial Airport,47.168399810791016,-88.48909759521484,MI,Hancock,CMX
medium_airport,Cavern City Air Terminal,32.337501525878906,-104.26300048828124,NM,Carlsbad,CNM
medium_airport,Canyonlands Regional Airport,38.755001,-109.754997,UT,Moab,CNY
medium_airport,Yellowstone Regional Airport,44.520199,-109.024002,WY,Cody,COD
medium_airport,City of Colorado Springs Municipal Airport,38.805801,-104.700996,CO,Colorado Springs,COS
medium_airport,Columbia Regional Airport,38.8181,-92.219597,MO,Columbia,COU
medium_airport,Casper-Natrona County International Airport,42.907381,-106.461609,WY,Casper,CPR
large_airport,Corpus Christi International Airport,27.770399,-97.501198,TX,Corpus Christi,CRP
medium_airport,McClellan-Palomar Airport,33.1283,-117.279999,CA,Carlsbad,CLD
medium_airport,Yeager Airport,38.3731,-81.593201,WV,Charleston,CRW
medium_airport,Columbus Metropolitan Airport,32.516300201416016,-84.93890380859375,GA,Columbus,CSG
large_airport,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,KY,Cincinnati / Covington,CVG
medium_airport,Clovis Municipal Airport,34.426594,-103.078794,NM,Clovis,CVN
small_airport,Charlevoix Municipal Airport,45.304798,-85.274803,MI,Charlevoix,KCVX
medium_airport,Central Wisconsin Airport,44.777448,-89.670238,WI,Mosinee,CWA
medium_airport,Cheyenne Regional Jerry Olson Field,41.155701,-104.811997,WY,Cheyenne,CYS
medium_airport,Daytona Beach International Airport,29.179899,-81.058098,FL,Daytona Beach,DAB
medium_airport,Dallas Love Field,32.847099,-96.851799,TX,Dallas,DAL
medium_airport,James M Cox Dayton International Airport,39.902401,-84.219398,OH,Dayton,DAY
medium_airport,Dubuque Regional Airport,42.402,-90.709503,IA,Dubuque,DBQ
large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,DC,Washington,DCA
medium_airport,Dodge City Regional Airport,37.76340103149414,-99.9655990600586,KS,Dodge City,DDC
medium_airport,Decatur Airport,39.834598541259766,-88.8656997680664,IL,Decatur,DEC
large_airport,Denver International Airport,39.860027,-104.673792,CO,Denver,DEN
large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,TX,Dallas-Fort Worth,DFW
medium_airport,Dothan Regional Airport,31.3213005065918,-85.44960021972656,AL,Dothan,DHN
medium_airport,Dickinson Theodore Roosevelt Regional Airport,46.797533,-102.801905,ND,Dickinson,DIK
medium_airport,Duluth International Airport,46.842098,-92.193604,MN,Duluth,DLH
medium_airport,Durango La Plata County Airport,37.151501,-107.753998,CO,Durango,DRO
large_airport,Des Moines International Airport,41.534027,-93.656719,IA,Des Moines,DSM
medium_airport,Destin Executive Airport,30.400101,-86.471497,FL,Destin,DSI
large_airport,Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,MI,Detroit,DTW
medium_airport,DuBois Regional Airport,41.17829895,-78.8986969,PA,Dubois,DUJ
medium_airport,Devils Lake Regional Airport,48.115454,-98.908796,ND,Devils Lake,DVL
medium_airport,Kearney Regional Airport,40.727001,-99.006798,NE,Kearney,EAR
medium_airport,Pangborn Memorial Airport,47.398899,-120.207001,WA,Wenatchee,EAT
medium_airport,Chippewa Valley Regional Airport,44.86579895019531,-91.48429870605467,WI,Eau Claire,EAU
small_airport,Nanwalek Airport,59.3521,-151.925003,AK,Nanwalek,KEB
medium_airport,Northwest Florida Beaches International Airport,30.357106,-85.795414,FL,Panama City Beach,ECP
medium_airport,Eagle County Regional Airport,39.64260101,-106.9179993,CO,Eagle,EGE
medium_airport,Elko Regional Airport,40.82490158081055,-115.79199981689452,NV,Elko,EKO
medium_airport,South Arkansas Regional Airport at Goodwin Field,33.221001,-92.813301,AR,El Dorado,ELD
medium_airport,Elmira Corning Regional Airport,42.1599006652832,-76.8916015625,NY,Elmira/Corning,ELM
large_airport,El Paso International Airport,31.809908,-106.375607,TX,El Paso,ELP
medium_airport,Erie International Tom Ridge Field,42.083127,-80.173867,PA,Erie,ERI
medium_airport,Delta County Airport,45.723199,-87.088623,MI,Escanaba,ESC
medium_airport,Mahlon Sweet Field,44.12459945678711,-123.21199798583984,OR,Eugene,EUG
medium_airport,Evansville Regional Airport,38.0369987488,-87.5324020386,IN,Evansville,EVV
medium_airport,New Bedford Regional Airport,41.67610168457031,-70.95690155029297,MA,New Bedford,EWB
medium_airport,Coastal Carolina Regional Airport,35.0730018616,-77.04290008539999,NC,New Bern,EWN
large_airport,Newark Liberty International Airport,40.692501,-74.168701,NJ,Newark,EWR
medium_airport,Key West International Airport,24.556101,-81.759598,FL,Key West,EYW
medium_airport,Hector International Airport,46.92070007324219,-96.81580352783205,ND,Fargo,FAR
large_airport,Fresno Yosemite International Airport,36.775767,-119.718018,CA,Fresno,FAT
medium_airport,Fayetteville Regional Airport - Grannis Field,34.991199,-78.880302,NC,Fayetteville,FAY
medium_airport,Friday Harbor Airport,48.523654,-123.024645,WA,Friday Harbor,FRD
medium_airport,Flagstaff Pulliam Airport,35.139757,-111.669826,AZ,Flagstaff,FLG
large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,FL,Fort Lauderdale,FLL
medium_airport,Florence Regional Airport,34.18539810180664,-79.7238998413086,SC,Florence,FLO
large_airport,Bishop International Airport,42.965401,-83.743599,MI,Flint,FNT
medium_airport,Fort Dodge Regional Airport,42.552624,-94.191237,IA,Fort Dodge,FOD
medium_airport,Sioux Falls Regional Airport / Joe Foss Field,43.585463,-96.741152,SD,Sioux Falls,FSD
medium_airport,Fort Smith Regional Airport,35.336601,-94.367401,AR,Fort Smith,FSM
large_airport,Fort Worth Meacham International Airport,32.819919,-97.360818,TX,Fort Worth,FTW
medium_airport,Fort Wayne International Airport,40.9785,-85.195099,IN,Fort Wayne,FWA
medium_airport,Northeast Wyoming Regional Airport,44.3489,-105.539001,WY,Gillette,GCC
medium_airport,Garden City Regional Airport,37.9275016785,-100.723999023,KS,Garden City,GCK
medium_airport,Grand Canyon National Park Airport,35.9524,-112.147003,AZ,Grand Canyon - Tusayan,GCN
medium_airport,Dawson Community Airport,47.137658,-104.80691,MT,Glendive,GDV
medium_airport,Spokane International Airport,47.6199,-117.533997,WA,Spokane,GEG
large_airport,Grand Forks International Airport,47.949299,-97.176102,ND,Grand Forks,GFK
medium_airport,East Texas Regional Airport,32.38399887084961,-94.71150207519533,TX,Longview,GGG
medium_airport,Glasgow Valley County Airport Wokal Field,48.212502,-106.614998,MT,Glasgow,GGW
medium_airport,Grand Junction Regional Airport,39.126663,-108.529387,CO,Grand Junction,GJT
medium_airport,Mid Delta Regional Airport,33.482899,-90.985603,MS,Greenville,GLH
medium_airport,Gainesville Regional Airport,29.6900997162,-82.2717971802,FL,Gainesville,GNV
medium_airport,Glacier Park International Airport,48.31050109863281,-114.25599670410156,MT,Kalispell,FCA
medium_airport,Gulfport Biloxi International Airport,30.407301,-89.070099,MS,Gulfport,GPT
large_airport,Austin Straubel International Airport,44.483459,-88.130805,WI,Green Bay,GRB
medium_airport,Central Nebraska Regional Airport,40.96749877929688,-98.30960083007812,NE,Grand Island,GRI
medium_airport,Killeen Regional Airport / Robert Gray Army Airfield,31.0672,-97.828903,TX,Fort Cavazos,GRK
large_airport,Gerald R. Ford International Airport,42.880798,-85.522797,MI,Grand Rapids,GRR
medium_airport,Piedmont Triad International Airport,36.097801,-79.937302,NC,Greensboro,GSO
medium_airport,Greenville Spartanburg International Airport,34.895699,-82.218903,SC,Greer,GSP
large_airport,Great Falls International Airport,47.481998,-111.371002,MT,Great Falls,GTF
medium_airport,Golden Triangle Regional Airport,33.450298,-88.5914,MS,Columbus/W Point/Starkville,GTR
medium_airport,Gunnison Crested Butte Regional Airport,38.534672,-106.934566,CO,Gunnison,GUC
medium_airport,Gallup Municipal Airport,35.511653,-108.788166,NM,Gallup,GUP
small_airport,Grayling Airport,62.895187,-160.066289,AK,Grayling,KGX
large_airport,Gary Chicago International Airport,41.617087,-87.413206,IN,Gary,GYY
medium_airport,Yampa Valley Airport,40.481201,-107.218002,CO,Hayden,HDN
medium_airport,Hagerstown Regional Richard A Henson Field,39.708771,-77.728014,MD,Hagerstown,HGR
medium_airport,Jack Northrop Field Hawthorne Municipal Airport,33.922798,-118.334999,CA,Hawthorne,HHR
medium_airport,Range Regional Airport,47.384831,-92.836905,MN,Hibbing,HIB
medium_airport,Helena Regional Airport,46.6068,-111.983002,MT,Helena,HLN
medium_airport,Lea County Regional Airport,32.6875,-103.217003,NM,Hobbs,HOB
medium_airport,Memorial Field Airport,34.4788,-93.096262,AR,Hot Springs,HOT
medium_airport,William P Hobby Airport,29.645399,-95.2789,TX,Houston,HOU
medium_airport,Westchester County Airport,41.06700134277344,-73.70760345458984,NY,White Plains,HPN
