year,month,dayofmonth,flightdate,marketing_airline_network,origincityname,destcityname,crsdeptime,deptime,depdelay,depdelayminutes,taxiout,wheelsoff,wheelson,taxiin,crsarrtime,arrtime,arrdelay,arrdelayminutes,crselapsedtime,actualelapsedtime,airtime,distance,distancegroup,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,hour,delayed,distance_bin,day_of_week,city_clean,state_clean,type,name,latitude,longitude,airport_code,temp_mean,precipitation,wind_speed
2018,1,8,2018-01-08,AA,"Jacksonville, FL","Charlotte, NC",1524,1530.0,6.0,6.0,12.0,1542.0,1637.0,17.0,1700,1654.0,-6.0,0.0,96.0,84.0,55.0,328.0,2,0.0,0.0,0.0,0.0,0.0,15,0,"(305.0, 507.0]",0,Jacksonville,FL,large_airport,Jacksonville International Airport,30.492469,-81.687813,JAX,14.1,0.0,12.1
2018,11,19,2018-11-19,AA,"Chicago, IL","Columbus, OH",1215,1210.0,-5.0,0.0,16.0,1226.0,1417.0,9.0,1442,1426.0,-16.0,0.0,87.0,76.0,51.0,296.0,2,0.0,0.0,0.0,0.0,0.0,12,0,"(15.999, 305.0]",0,Chicago,IL,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,ORD,-2.1,1.1,14.8
2018,10,24,2018-10-24,UA,"Richmond, VA","Newark, NJ",600,558.0,-2.0,0.0,10.0,608.0,653.0,11.0,723,704.0,-19.0,0.0,83.0,66.0,45.0,277.0,2,0.0,0.0,0.0,0.0,0.0,6,0,"(15.999, 305.0]",2,Richmond,VA,large_airport,Richmond International Airport,37.505199,-77.319702,RIC,10.0,0.0,20.4
2018,12,4,2018-12-04,WN,"Hartford, CT","Denver, CO",855,853.0,-2.0,0.0,6.0,859.0,1056.0,6.0,1135,1102.0,-33.0,0.0,280.0,249.0,237.0,1671.0,7,0.0,0.0,0.0,0.0,0.0,8,0,"(1107.0, 5095.0]",1,Hartford,CT,large_airport,Bradley International Airport,41.93851,-72.688066,BDL,-0.9500000000000002,0.0,17.6
2018,10,5,2018-10-05,F9,"Denver, CO","San Antonio, TX",2044,2316.0,152.0,152.0,13.0,2329.0,218.0,9.0,2356,227.0,151.0,151.0,132.0,131.0,109.0,794.0,4,23.0,0.0,0.0,0.0,128.0,20,1,"(762.0, 1107.0]",4,Denver,CO,medium_airport,Rocky Mountain Metropolitan Airport,39.908798,-105.116997,BJC,13.8,4.0,32.1
2018,11,13,2018-11-13,DL,"New York, NY","Burlington, VT",2159,2231.0,32.0,32.0,21.0,2252.0,2335.0,14.0,2317,2349.0,32.0,32.0,78.0,78.0,43.0,258.0,2,0.0,0.0,0.0,0.0,32.0,21,1,"(15.999, 305.0]",1,New York,NY,large_airport,John F Kennedy International Airport,40.639447,-73.779317,JFK,9.85,18.3,28.4
2018,1,3,2018-01-03,WN,"New Orleans, LA","Nashville, TN",715,712.0,-3.0,0.0,7.0,719.0,828.0,6.0,840,834.0,-6.0,0.0,85.0,82.0,69.0,471.0,2,0.0,0.0,0.0,0.0,0.0,7,0,"(305.0, 507.0]",2,New Orleans,LA,large_airport,Louis Armstrong New Orleans International Airport,29.993401,-90.258003,MSY,3.65,0.6,24.3
2018,11,16,2018-11-16,AA,"Chicago, IL","Nashville, TN",2210,2208.0,-2.0,0.0,14.0,2222.0,2319.0,7.0,2345,2326.0,-19.0,0.0,95.0,78.0,57.0,409.0,2,0.0,0.0,0.0,0.0,0.0,22,0,"(305.0, 507.0]",4,Chicago,IL,large_airport,Chicago Midway International Airport,41.785999,-87.752403,MDW,1.2999999999999998,0.0,25.7
2018,1,27,2018-01-27,DL,"Seattle, WA","Las Vegas, NV",805,755.0,-10.0,0.0,29.0,824.0,1018.0,5.0,1044,1023.0,-21.0,0.0,159.0,148.0,114.0,867.0,4,0.0,0.0,0.0,0.0,0.0,8,0,"(762.0, 1107.0]",5,Seattle,WA,medium_airport,Boeing Field King County International Airport,47.529999,-122.302002,BFI,6.5,13.3,44.8
2018,11,30,2018-11-30,AS,"Boise, ID","San Jose, CA",1010,959.0,-11.0,0.0,16.0,1015.0,1042.0,5.0,1109,1047.0,-22.0,0.0,119.0,108.0,87.0,523.0,3,0.0,0.0,0.0,0.0,0.0,10,0,"(507.0, 762.0]",4,Boise,ID,large_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,BOI,1.3,11.3,22.8
