airline_id,airline_code,airline_name
2989,JAA,Japan Asia Airways
970,JAB,Air Bagan
3000,JAI,Jet Airways
2987,JAL,Japan Airlines
6557,JAS,Japan Air System
2731,JBA,Helijet
3029,JBU,JetBlue Airways
2994,JJA,Jeju Air
9810,JNA,Jin Air
3021,JSA,Jetstar Asia Airways
3052,JST,Jetstar Airways
2990,JTA,Japan Transocean Air
2993,JZR,Jazeera Airways
3179,KAC,Kuwait Airways
3163,KAL,Korean Air
1629,KAP,Cape Air
3123,KEN,Kenmore Air
995,KKK,Atlasjet
3090,KLM,KLM Royal Dutch Airlines
3097,KMF,Kam Air
3754,KNE,Nas Air
998,KOR,Air Koryo
3126,KQA,Kenya Airways
1669,KRP,Carpatair
13704,KSY,KSY
1006,KZR,Air Astana
3258,LAA,Libyan Arab Airlines
3287,LAM,Linhas A
3200,LAN,LAN Airlines
3233,LAO,Lao Airlines
5156,LAP,TAM Mercosur
1008,LBC,Albanian Airlines
3740,LBT,Nouvel Air Tunisie
3329,LGL,Luxair
2293,LHN,Express One International
3251,LIA,Leeward Islands Air Transport
2418,LIL,FlyLal
11811,LMU,AlMasria Universal Airlines
1034,LNE,Aerolane
3290,LNI,Lion Mentari Airlines
14061,LOO,LSM Airlines
3210,LOT,LOT Polish Airlines
3342,LPR,L
3197,LRC,LACSA
19610,LTU,Air Lituanica
1048,LUR,Atlantis European Airways
1548,LZB,Bulgaria Air
16942,MAI,Mauritania Airlines International
3378,MAS,Malaysia Airlines
1057,MAU,Air Mauritius
3392,MDA,Mandarin Airlines
1066,MDG,Air Madagascar
3391,MDL,Mandala Airlines
3490,MEA,Middle East Airlines
3354,MGL,MIAT Mongolian Airlines
3539,MGX,Montenegro Airlines
8809,MKU,Island Air (WP)
10,MLA,40-Mile Air
1073,MLD,Air Moldova
3393,MNO,Mango
1623,MPE,Canadian North
16725,MRS,Marusya Airways
3547,MSI,Motor Sich
2143,MSR,Egyptair
3498,MWA,Midwest Airlines (Egypt)
18732,MXD,Malindo Air
10955,MXI,MexicanaLink
3432,MXL,Maxair
3437,MYD,Maya Island Air
19810,N78,Regional Air Iceland
11838,NAK,Arik Niger
3589,NAS,Nasair
3737,NAX,Norwegian Air Shuttle
2419,NDC,FlyNordic
17083,NIA,Nile Air
4687,NKS,Spirit Airlines
3661,NLY,Niki
153,NMB,Air Namibia
3865,NMI,Pacific Wings
3674,NOK,Nok Air
4691,NSE,SATENA
3652,NTJ,NextJet
3613,NTW,Nationwide Airlines
3781,OAE,Omni Air International
3776,OAL,Olympic Airlines
2750,OAW,Helvetic Airways
622,OCA,Aserca Airlines
3811,OEA,Orient Thai Airlines
3788,OHY,Onur Air
3826,OLA,Overland Airways
3778,OMA,Oman Air
13335,OME,Homer Air
3764,ONE,Oceanair
5523,OOM,Zoom Airlines
3805,ORB,Orenburg Airlines
3952,PAL,Philippine Airlines
3835,PBA,PB Air
3856,PCO,Pacific Coastal Airline
4026,PDC,Potomac Air
3969,PDT,Piedmont Airlines (1948-1989)
3857,PEC,Pacific East Asia Cargo Airlines
3935,PEN,Peninsula Airways
3926,PGT,Pegasus Airlines
3871,PIA,Pakistan International Airlines
3850,PIC,Jetstar Pacific
179,PLI,Aeroper
3734,PLR,Northwestern Air
